"country_code","average_elevation"
"BT",8166
"LS",6576.09
"RW",5249.57
"ET",5033.93
"BI",4278
"KG",4180.76
"MN",4154.5
"AF",3898.9
"ZM",3756.77
"NP",3755.09
"UG",3484.79
"ZW",3366.61
"KE",3348.77
"AM",3339.67
"PE",3196.03
"BW",3150.03
"ZA",3097.02
"TZ",3045.2
"BO",2902.69
"TJ",2898.2
"MW",2693.32
"IR",2627.22
"YE",2526.5
"ER",2479.75
"AO",2362
"MX",2339.42
"GT",2199.11
"CM",2194.62
"CD",2128.81
"JO",1955.86
"KS",1883.5
"PG",1837.03
"CF",1804.4
"EC",1744.36
"CH",1723.68
"CN",1719.71
"TR",1706.69
"SS",1687
"CO",1679.82
"SA",1664.72
"SD",1542.36
"SO",1520.76
"SY",1511.63
"DZ",1506.04
"AT",1501.05
"PK",1476.89
"TD",1467.8
"LA",1464.21
"MK",1414.67
"AR",1352.71
"ES",1350.77
"BR",1308.47
"CA",1291.07
"US",1237.71
"LU",1228
"CG",1192.23
"CZ",1180.01
"GN",1174.43
"KP",1172
"NE",1169.13
"IN",1159.45
"SZ",1135
"MA",1127.12
"UZ",1089.79
"LB",1060
"GH",1053
"AQ",1024.1
"BF",1005.04
"KZ",999.81
"AZ",991.33
"MZ",988.4
"NG",983.8
"BA",962.9
"ML",960.83
"CL",960.64
"ME",930.6
"GA",928.15
"CX",916
"BJ",887.89
"OM",880.8
"SI",875.2
"MG",874.45
"MM",831.45
"SK",825
"IQ",802.3
"TG",780
"DE",779.57
"BG",768.87
"FR",751.79
"CI",721.04
"LY",713.67
"GY",678.03
"RO",624.7
"VE",573.31
"TM",569.67
"BE",566.86
"MR",564.1
"VN",559.33
"GE",556.29
"MS",550
"IL",549.52
"ID",546.96
"SV",546.22
"HN",538.91
"PL",524.19
"RS",520.18
"PY",507.75
"UA",496.8
"MD",474.83
"HU",465.41
"GU",462.5
"EG",459.72
"PT",456.61
"SL",456.44
"NI",445.1
"NZ",440.77
"NO",436.42
"HR",434.89
"IT",425.36
"RU",410.46
"SR",371.96
"NF",371
"KW",369.4
"TH",368.18
"LR",363.18
"AL",345.33
"CR",341.58
"FI",337.19
"DJ",329.22
"MY",319.27
"TL",318.75
"IS",318.32
"GG",313
"ST",312
"KR",310.83
"GR",309.87
"DO",301.79
"BY",301.19
"MT",300
"TN",296.21
"LT",283.08
"MP",281.75
"FO",280
"SH",278
"JE",277
"SE",264.97
"PA",240.45
"UY",238.35
"PH",224.97
"NU",209
"PR",206.75
"IE",206.74
"CV",202.6
"GB",200.78
"EH",197.67
"JP",197.61
"AU",196
"GF",184
"PW",176
"BB",169
"FK",159.5
"TO",151.33
"LV",151.06
"TW",146.75
"EE",145.8
"LK",136.5
"CY",132.25
"GL",131
"CU",128.98
"AI",127
"SN",118.27
"HT",109.67
"NC",108.62
"MU",95
"GM",95
"AE",93.1
"KN",92
"VU",82.34
"GW",71.8
"BH",71
"BQ",69.67
"DK",68.42
"FJ",63.96
"RE",62.5
"AW",60
"KM",58.5
"KH",57.69
"NL",56.56
"BD",54.86
"SC",52.36
"IM",52
"AS",50.33
"WF",49.5
"BL",49
"VI",48.5
"TT",48
"WS",47.25
"QA",47
"PF",46.84
"SG",46.83
"GQ",44.5
"DM",43
"BN",40
"HK",39
"FM",30.75
"AG",30.67
"GP",29.5
"CW",29
"JM",24.83
"VC",23.2
"YT",23
"GD",23
"NR",22
"CK",20.89
"MO",20
"PM",18.5
"LC",18
"MQ",16
"GI",15
"BZ",15
"SB",13.23
"SX",13
"BM",12
"VG",11
"UM",10.67
"CC",10
"IO",9
"TC",8.5
"BS",8.48
"MF",7
"MH",6.83
"KY",6.33
"MV",6.14
"KI",5.71
"TV",0
